date,state,epidemiological_week_2019,epidemiological_week_2020,deaths_indeterminate_2019,deaths_respiratory_failure_2019,deaths_others_2019,deaths_pneumonia_2019,deaths_septicemia_2019,deaths_sars_2019,deaths_covid19,deaths_indeterminate_2020,deaths_respiratory_failure_2020,deaths_others_2020,deaths_pneumonia_2020,deaths_septicemia_2020,deaths_sars_2020,deaths_total_2019,deaths_total_2020,new_deaths_indeterminate_2019,new_deaths_respiratory_failure_2019,new_deaths_others_2019,new_deaths_pneumonia_2019,new_deaths_septicemia_2019,new_deaths_sars_2019,new_deaths_covid19,new_deaths_indeterminate_2020,new_deaths_respiratory_failure_2020,new_deaths_others_2020,new_deaths_pneumonia_2020,new_deaths_septicemia_2020,new_deaths_sars_2020,new_deaths_total_2019,new_deaths_total_2020
08/12/2020,SC,50,50,223,3260,20853,7011,5087,64,4370,210,2874,21612,5390,4525,107,36498,39088,,13,85,15,12,,56,1,11,66,23,17,,125,174
08/12/2020,SE,50,50,89,862,6030,1622,1939,23,1968,120,862,5979,1310,1636,80,10565,11955,,2,22,5,5,,9,1,1,14,2,3,,34,30
08/12/2020,SP,50,50,1319,24041,150419,69034,40563,277,47594,1726,25790,156616,51444,37890,2302,285653,323362,2,74,444,169,121,1,172,2,56,434,129,135,4,811,932
08/12/2020,TO,50,50,47,421,2941,823,487,7,835,45,411,2952,719,517,24,4726,5503,,1,12,3,1,,2,1,,5,3,1,,17,12
07/12/2020,AC,49,50,37,210,1853,822,395,5,743,39,227,1991,603,382,26,3322,4011,,,6,3,1,,2,,,5,1,1,,10,9
07/12/2020,AL,49,50,90,1456,9466,2464,2028,13,2248,98,1301,10213,1841,2039,297,15517,18037,2,4,34,6,5,,1,,2,17,2,5,,51,27
07/12/2020,AM,49,50,124,628,7804,1989,1716,32,2680,138,893,7966,2226,1747,747,12293,16397,,4,31,5,6,,3,,2,21,2,6,,46,34
07/12/2020,AP,49,50,11,236,1235,439,392,6,747,6,239,1077,272,272,20,2319,2633,,,5,2,1,,4,,1,1,1,1,,8,8
07/12/2020,BA,49,50,102,7262,40627,6858,8682,95,7957,140,6602,44372,5999,8392,452,63626,73914,,26,127,16,20,,22,,15,91,10,18,1,189,157
07/12/2020,CE,49,50,118,2788,22303,6802,4548,37,9457,180,3025,24991,5791,4528,666,36596,48638,2,11,63,17,11,,11,,6,63,19,9,1,104,109
07/12/2020,DF,49,50,124,924,6704,3064,2332,37,3775,126,917,6971,2630,1995,67,13185,16481,,2,17,9,7,,10,,1,19,3,5,,35,38
